Team,Season,Overall,Attack,Midfield,Defense
Arsenal,2006,83,85,84,80
Aston Villa,2006,73,72,73,74
Birmingham,2006,70,69,70,71
Blackburn,2006,72,71,72,73
Bolton,2006,71,70,71,72
Charlton,2006,68,67,68,69
Chelsea,2006,84,82,85,85
Everton,2006,76,75,76,77
Fulham,2006,70,69,70,71
Liverpool,2006,82,83,82,81
Man City,2006,75,76,75,74
Man United,2006,85,84,86,83
Middlesbrough,2006,68,67,68,69
Newcastle,2006,74,73,74,75
Portsmouth,2006,69,68,69,70
Reading,2006,65,64,65,66
Sheffield United,2006,66,65,66,67
Tottenham,2006,77,78,77,76
Watford,2006,64,63,64,65
West Ham,2006,72,73,72,71
Wigan,2006,67,66,67,68
Arsenal,2007,84,86,85,81
Aston Villa,2007,74,73,74,75
Birmingham,2007,71,70,71,72
Blackburn,2007,72,71,72,73
Bolton,2007,72,71,72,73
Chelsea,2007,85,83,86,86
Derby,2007,66,65,66,67
Everton,2007,77,76,77,78
Fulham,2007,71,70,71,72
Liverpool,2007,83,84,83,82
Man City,2007,76,77,76,75
Man United,2007,86,85,87,84
Middlesbrough,2007,69,68,69,70
Newcastle,2007,75,74,75,76
Portsmouth,2007,70,69,70,71
Reading,2007,67,66,67,68
Sunderland,2007,68,67,68,69
Tottenham,2007,78,79,78,77
West Ham,2007,73,74,73,72
Wigan,2007,68,67,68,69
Arsenal,2008,84,86,85,81
Aston Villa,2008,75,74,75,76
Blackburn,2008,72,71,72,73
Bolton,2008,72,71,72,73
Chelsea,2008,85,83,86,86
Everton,2008,78,77,78,79
Fulham,2008,72,71,72,73
Hull,2008,68,67,68,69
Liverpool,2008,84,85,84,83
Man City,2008,77,78,77,76
Man United,2008,87,86,88,85
Middlesbrough,2008,70,69,70,71
Newcastle,2008,76,75,76,77
Portsmouth,2008,71,70,71,72
Stoke,2008,70,69,70,71
Sunderland,2008,69,68,69,70
Tottenham,2008,79,80,79,78
West Brom,2008,69,68,69,70
West Ham,2008,74,75,74,73
Wigan,2008,69,68,69,70
Arsenal,2009,85,87,86,82
Aston Villa,2009,76,75,76,77
Birmingham,2009,72,71,72,73
Blackburn,2009,73,72,73,74
Bolton,2009,73,72,73,74
Burnley,2009,68,67,68,69
Chelsea,2009,86,84,87,87
Everton,2009,79,78,79,80
Fulham,2009,73,72,73,74
Hull,2009,69,68,69,70
Liverpool,2009,85,86,85,84
Man City,2009,78,79,78,77
Man United,2009,88,87,89,86
Portsmouth,2009,72,71,72,73
Stoke,2009,71,70,71,72
Sunderland,2009,70,69,70,71
Tottenham,2009,80,81,80,79
West Ham,2009,75,76,75,74
Wigan,2009,70,69,70,71
Wolves,2009,69,68,69,70
Arsenal,2010,85,87,86,82
Aston Villa,2010,77,76,77,78
Birmingham,2010,73,72,73,74
Blackburn,2010,73,72,73,74
Blackpool,2010,68,67,68,69
Bolton,2010,73,72,73,74
Chelsea,2010,86,84,87,87
Everton,2010,79,78,79,80
Fulham,2010,74,73,74,75
Liverpool,2010,85,86,85,84
Man City,2010,80,81,80,79
Man United,2010,88,87,89,86
Newcastle,2010,76,75,76,77
Stoke,2010,72,71,72,73
Sunderland,2010,71,70,71,72
Tottenham,2010,81,82,81,80
West Brom,2010,70,69,70,71
West Ham,2010,75,76,75,74
Wigan,2010,71,70,71,72
Wolves,2010,70,69,70,71
Arsenal,2011,85,87,86,82
Aston Villa,2011,76,75,76,77
Blackburn,2011,73,72,73,74
Bolton,2011,73,72,73,74
Chelsea,2011,86,84,87,87
Everton,2011,79,78,79,80
Fulham,2011,74,73,74,75
Liverpool,2011,84,85,84,83
Man City,2011,82,83,82,81
Man United,2011,88,87,89,86
Newcastle,2011,77,76,77,78
Norwich,2011,70,69,70,71
QPR,2011,70,69,70,71
Stoke,2011,72,71,72,73
Sunderland,2011,72,71,72,73
Swansea,2011,71,70,71,72
Tottenham,2011,82,83,82,81
West Brom,2011,71,70,71,72
Wigan,2011,71,70,71,72
Wolves,2011,70,69,70,71
Arsenal,2012,85,87,86,82
Aston Villa,2012,75,74,75,76
Chelsea,2012,86,84,87,87
Everton,2012,79,78,79,80
Fulham,2012,74,73,74,75
Liverpool,2012,84,85,84,83
Man City,2012,83,84,83,82
Man United,2012,88,87,89,86
Newcastle,2012,77,76,77,78
Norwich,2012,71,70,71,72
QPR,2012,71,70,71,72
Reading,2012,68,67,68,69
Southampton,2012,73,72,73,74
Stoke,2012,72,71,72,73
Sunderland,2012,72,71,72,73
Swansea,2012,72,71,72,73
Tottenham,2012,82,83,82,81
West Brom,2012,72,71,72,73
West Ham,2012,74,75,74,73
Wigan,2012,71,70,71,72
Arsenal,2013,85,87,86,82
Aston Villa,2013,74,73,74,75
Cardiff,2013,70,69,70,71
Chelsea,2013,86,84,87,87
Crystal Palace,2013,71,70,71,72
Everton,2013,80,79,80,81
Fulham,2013,73,72,73,74
Hull,2013,71,70,71,72
Liverpool,2013,84,85,84,83
Man City,2013,84,85,84,83
Man United,2013,87,86,88,85
Newcastle,2013,77,76,77,78
Norwich,2013,71,70,71,72
Southampton,2013,74,73,74,75
Stoke,2013,73,72,73,74
Sunderland,2013,72,71,72,73
Swansea,2013,73,72,73,74
Tottenham,2013,83,84,83,82
West Brom,2013,72,71,72,73
West Ham,2013,74,75,74,73
Arsenal,2014,85,87,86,82
Aston Villa,2014,74,73,74,75
Burnley,2014,69,68,69,70
Chelsea,2014,87,85,88,88
Crystal Palace,2014,72,71,72,73
Everton,2014,80,79,80,81
Hull,2014,72,71,72,73
Leicester,2014,72,71,72,73
Liverpool,2014,84,85,84,83
Man City,2014,85,86,85,84
Man United,2014,86,85,87,84
Newcastle,2014,77,76,77,78
QPR,2014,71,70,71,72
Southampton,2014,75,74,75,76
Stoke,2014,73,72,73,74
Sunderland,2014,72,71,72,73
Swansea,2014,73,72,73,74
Tottenham,2014,83,84,83,82
West Brom,2014,72,71,72,73
West Ham,2014,75,76,75,74
Arsenal,2015,85,87,86,82
Aston Villa,2015,73,72,73,74
Bournemouth,2015,72,71,72,73
Chelsea,2015,87,85,88,88
Crystal Palace,2015,73,72,73,74
Everton,2015,80,79,80,81
Leicester,2015,74,73,74,75
Liverpool,2015,84,85,84,83
Man City,2015,86,87,86,85
Man United,2015,86,85,87,84
Newcastle,2015,76,75,76,77
Norwich,2015,71,70,71,72
Southampton,2015,76,75,76,77
Stoke,2015,74,73,74,75
Sunderland,2015,72,71,72,73
Swansea,2015,74,73,74,75
Tottenham,2015,84,85,84,83
Watford,2015,73,72,73,74
West Brom,2015,73,72,73,74
West Ham,2015,76,77,76,75
Arsenal,2016,85,87,86,82
Bournemouth,2016,73,72,73,74
Burnley,2016,71,70,71,72
Chelsea,2016,87,85,88,88
Crystal Palace,2016,74,73,74,75
Everton,2016,80,79,80,81
Hull,2016,72,71,72,73
Leicester,2016,77,76,77,78
Liverpool,2016,85,86,85,84
Man City,2016,86,87,86,85
Man United,2016,86,85,87,84
Middlesbrough,2016,73,72,73,74
Southampton,2016,77,76,77,78
Stoke,2016,74,73,74,75
Sunderland,2016,71,70,71,72
Swansea,2016,74,73,74,75
Tottenham,2016,85,86,85,84
Watford,2016,74,73,74,75
West Brom,2016,74,73,74,75
West Ham,2016,76,77,76,75
